id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1789,28,16,1053.230653,1226.806696,1105.167118,1247.545806,1214.022139,1408.046977,1010.958604,1493.008459,1261.901998,1266.902176,1161.48497,1021.287259,977.8136251,1118.096654,1443.00153,718.2058146,1018.623021,1111.591253,1292.248919,1158.425487
1790,29,16,1053.97557,1225.1037,1106.001075,1240.585959,1213.072973,1408.01413,1009.993241,1487.685973,1259.998463,1258.852056,1156.121371,1023.039635,975.2213847,1119.857885,1438.721922,718.326621,1016.101089,1108.972959,1282.508838,1156.557843
1791,30,16,1050.049354,1223.079062,1100.019646,1228.574031,1211.049354,1407.049354,1001.079062,1478.692862,1253.108769,1242.900816,1149.168185,1020.019646,971.2573079,1117.871108,1431.72257,719.3167233,1012.989939,1104.019646,1264.603739,1145.663154
1792,31,16,1055.971941,1228.171433,1103.283319,1225.588791,1216.142723,1414.802635,1006.085304,1476.590267,1256.369448,1239.875889,1148.966448,1025.142723,974.6278364,1127.260102,1435.739309,724.4585307,1015.54023,1105.538754,1257.040765,1146.250179
1793,32,16,1054.152965,1227.632743,1101.892842,1218.297665,1216.483532,1417.619994,1001.276621,1470.176207,1254.208431,1227.368094,1144.867332,1026.029318,970.8673514,1129.741418,1433.163452,726.8418718,1013.208441,1104.632728,1240.280424,1134.28488
1794,33,16,1057.956002,1230.90768,1104.345354,1217.199478,1220.615277,1422.4777,1002.330275,1466.598064,1254.731014,1219.999113,1143.702083,1028.159455,970.9030621,1136.030792,1437.801497,732.3305685,1014.874746,1109.013248,1228.231202,1130.778732
1795,34,16,1061.489002,1233.592367,1106.592367,1217.390385,1225.577914,1428.531016,1004.529093,1463.140593,1254.193323,1214.481282,1142.636367,1031.005662,971.4649767,1143.401809,1442.947377,737.0048207,1016.32152,1113.297566,1216.412379,1127.578046
1796,35,16,1061.861823,1235.37733,1107.972815,1217.321882,1229.415897,1434.291264,1004.811971,1458.448868,1251.809125,1207.512362,1140.049949,1034.443669,969.4431773,1150.177918,1445.851029,739.6402348,1015.809125,1116.909322,1202.55662,1120.271538
1797,36,16,1064.316441,1243.632119,1114.383344,1223.204741,1233.570407,1438.273568,1007.292409,1455.273277,1253.211856,1200.866954,1137.94424,1039.608088,965.1313021,1158.439866,1453.477547,744.4180492,1017.078048,1127.851672,1192.952407,1116.99038
1798,37,16,1056.258981,1239.305294,1107.397922,1218.027412,1227.444236,1429.467392,999.2589808,1436.235824,1242.467392,1187.258981,1123.374765,1035.212667,951.5137061,1154.212667,1451.096883,745.5831767,1004.490549,1127.18951,1171.027412,1107.050569
